V1,live,objekttyp,zustand,wohnflache,grundflache,zimmer,heizung,verfugbar,bautyp,boden,nutzflache,gesamtflache,abstellraum,balkon,barrierefrei,carport,dachterrasse,einbaukuche,fahrstuhl,garage,garten,keller,loggia,parkplatz,teilmobliert.mobliert,terrasse,wintergarten,hwb.kwh.m2.jahr,hwb.energieklasse,fgee.energieklasse,fgee,betriebskosten.inkl.mwst,heizkosten.exkl.mwst,monatliche.kosten.mwst,monatliche.kosten.inkl.mwst,sonstige.kosten.exkl.mwst,price,id,address,postalCode,city,county,state,country,street,houseNumber,district,geometry,wien.dist,kottingbrunn.dist,price.predicted,residual
286354940,TRUE,Doppelhaushälfte,UNKNOWN,156,367,5,Fußbodenheizung,UNKNOWN,Neubau,UNKNOWN,217,UNKNOWN,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,33.2,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,647300,530,"Regenhartstraße, 2371 Hinterbrühl, Österreich",2371,Hinterbrühl,Mödling,Niederösterreich,AUT,Regenhartstraße,UNKNOWN,Hinterbrühl,16.24858|48.0865,14475.1459098116,15089.5010896957,835939.285036712,188639.285036712
377282270,TRUE,Einfamilienhaus,Sehr gut/gut,110,300,4,Pellets,ab sofort,UNKNOWN,UNKNOWN,,UNKNOWN,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,185,E,D,2.21,€ 55,UNKNOWN,UNKNOWN,UNKNOWN,€ 127,172000,325,"Seesiedlung, 2486 Pottendorf, Österreich",2486,Pottendorf,Baden,Niederösterreich,AUT,Seesiedlung,UNKNOWN,UNKNOWN,16.39142|47.88113,33716.696756905,14470.3299411012,355614.928122947,183614.928122947
372763865,TRUE,Einfamilienhaus,Erstbezug,102,295,4,Fußbodenheizung,UNKNOWN,Neubau,UNKNOWN,106,UNKNOWN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,50,B,A,0.77,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,389000,390,"Oberwaltersdorf, Niederösterreich, Österreich",2522,Oberwaltersdorf,Baden,Niederösterreich,AUT,UNKNOWN,UNKNOWN,UNKNOWN,16.32317|47.97773,23307.7548645101,7647.20405058941,570133.232339481,181133.232339481
336469288,TRUE,Villa,Sehr gut/gut,445,1.165,10,Fußbodenheizung,UNKNOWN,UNKNOWN,UNKNOWN,744,UNKNOWN,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,68,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1680000,721,"Maria Enzersdorf, Niederösterreich, Österreich",2344,Maria Enzersdorf,Mödling,Niederösterreich,AUT,UNKNOWN,UNKNOWN,UNKNOWN,16.28383|48.09806,11829.3676799024,16814.3579176549,1860073.03394841,180073.033948413
372763872,TRUE,Doppelhaushälfte,Erstbezug,108,252,4,Fußbodenheizung,UNKNOWN,Neubau,UNKNOWN,110,UNKNOWN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,50,B,A,0.77,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,379000,389,"Oberwaltersdorf, Niederösterreich, Österreich",2522,Oberwaltersdorf,Baden,Niederösterreich,AUT,UNKNOWN,UNKNOWN,UNKNOWN,16.32317|47.97773,23307.7548645101,7647.20405058941,559050.90479571,180050.90479571
385636948,FALSE,Einfamilienhaus,UNKNOWN,115,199,4,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,72.2559594383775,B,B,1.13,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,320000,903,"Tribuswinkel, Traiskirchen, Niederösterreich, Österreich",2512,Traiskirchen,Baden,Niederösterreich,AUT,UNKNOWN,UNKNOWN,Tribuswinkel,16.27046|48.00603,21345.0171349585,6827.52608716887,499695.079512074,179695.079512074
387078801,FALSE,Einfamilienhaus,Sehr gut/gut,250,721,6,Zentralheizung,ab sofort,Neubau,Parkett,304,UNKNOWN,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,150,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,990000,901,"Hinterbrühl, Niederösterreich, Österreich",2371,Hinterbrühl,Mödling,Niederösterreich,AUT,UNKNOWN,UNKNOWN,UNKNOWN,16.24746|48.08684,14502.0975151048,15119.0878861107,1166462.24561543,176462.24561543
373723605,TRUE,Mehrfamilienhaus,UNKNOWN,307,1.085,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,308,UNKNOWN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,72.2559594383775,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,750000,553,"2340, Niederösterreich, Österreich",2340,UNKNOWN,Mödling,Niederösterreich,AUT,UNKNOWN,UNKNOWN,UNKNOWN,16.27763|48.07893,13850.9542314508,14639.1581355136,926359.221751532,176359.221751532
385808044,TRUE,Einfamilienhaus,Renoviert,320,1.002,8,Gasheizung,ab sofort,Neubau,Sonstige,,UNKNOWN,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,57,C,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,899000,87,"2500, Niederösterreich, Österreich",2500,UNKNOWN,Baden,Niederösterreich,AUT,UNKNOWN,UNKNOWN,UNKNOWN,16.20435|48.0032,23888.5232503626,6029.54888474542,1074730.59244483,175730.592444825
372763877,TRUE,Einfamilienhaus,Erstbezug,102,295,4,Fußbodenheizung,UNKNOWN,Neubau,UNKNOWN,104,UNKNOWN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,50,B,A,0.77,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,395000,391,"Oberwaltersdorf, Niederösterreich, Österreich",2522,Oberwaltersdorf,Baden,Niederösterreich,AUT,UNKNOWN,UNKNOWN,UNKNOWN,16.32317|47.97773,23307.7548645101,7647.20405058941,570106.627697596,175106.627697596
381876594,FALSE,Bungalow,Erstbezug,80,334.007319952775,4,UNKNOWN,completion.date.stated,Neubau,UNKNOWN,,UNKNOWN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,72.2559594383775,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,165000,771,"Günselsdorf, Niederösterreich, Österreich",2525,Günselsdorf,Baden,Niederösterreich,AUT,UNKNOWN,UNKNOWN,UNKNOWN,16.26024|47.94418,28074.3326826773,2503.24264788548,339914.354770513,174914.354770513
382867988,FALSE,Reihenhaus,Sehr gut/gut,108,180,6,Gasheizung,nach Vereinbarung,Neubau,Holz,,UNKNOWN,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,100,C/D,UNKNOWN,2.5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,379000,812,"Hennersdorf, Niederösterreich, Österreich",2332,Hennersdorf,Mödling,Niederösterreich,AUT,UNKNOWN,UNKNOWN,UNKNOWN,16.36228|48.11147,8162.92599925703,20397.1790321159,553499.811534709,174499.811534709
382624640,TRUE,Einfamilienhaus,UNKNOWN,100,261,4,Fußbodenheizung,UNKNOWN,Neubau,Sonstige,,395 m²,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,36.3,B,A+,0.67,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,469000,363,"Oberwaltersdorf, Niederösterreich, Österreich",2522,Oberwaltersdorf,Baden,Niederösterreich,AUT,UNKNOWN,UNKNOWN,UNKNOWN,16.32317|47.97773,23307.7548645101,7647.20405058941,643035.369649528,174035.369649528
384182940,FALSE,Einfamilienhaus,Erstbezug,130,293,4,Fußbodenheizung,UNKNOWN,Neubau,Sonstige,155,360 m²,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,36,B,A,0.8,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,485000,846,"Trappenfeldsee, 2522 Oberwaltersdorf, Österreich",2522,Oberwaltersdorf,Baden,Niederösterreich,AUT,Trappenfeldsee,UNKNOWN,UNKNOWN,16.33628|47.98249,22634.7875992763,8754.55803653031,658596.250275736,173596.250275736
390006363,TRUE,Einfamilienhaus,UNKNOWN,140,610,5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,72.2559594383775,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,590000,428,"Brunn am Gebirge, Niederösterreich, Österreich",2345,Brunn am Gebirge,Mödling,Niederösterreich,AUT,UNKNOWN,UNKNOWN,UNKNOWN,16.28623|48.10761,10874.8066423881,17887.8275952402,760583.95835645,170583.95835645
382624630,TRUE,Einfamilienhaus,UNKNOWN,98,249,4,Fußbodenheizung,UNKNOWN,Neubau,Sonstige,,383 m²,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,36.3,B,A+,0.67,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,469000,364,"Oberwaltersdorf, Niederösterreich, Österreich",2522,Oberwaltersdorf,Baden,Niederösterreich,AUT,UNKNOWN,UNKNOWN,UNKNOWN,16.32317|47.97773,23307.7548645101,7647.20405058941,639287.950609594,170287.950609594
375169044,TRUE,Einfamilienhaus,UNKNOWN,146,536,4,UNKNOWN,UNKNOWN,UNKNOWN,Parkett,146,UNKNOWN,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,40,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,499000,488,"Wiener Neudorf, Niederösterreich, Österreich",2351,Wiener Neudorf,Mödling,Niederösterreich,AUT,UNKNOWN,UNKNOWN,UNKNOWN,16.318|48.08637,11734.4886116679,16418.5297431448,666185.400628479,167185.400628479
386094441,TRUE,Einfamilienhaus,Renoviert,112,910,4,Luftwärmepumpe,ab sofort,Altbau,Parkett,,UNKNOWN,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,72.2559594383775,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,320000,586,"Mittlere Wöglerin, 2392 Wienerwald, Österreich",2392,Wienerwald,Mödling,Niederösterreich,AUT,Mittlere Wöglerin,UNKNOWN,Stangau,16.12958|48.11341,20029.3251736149,19460.809732782,486367.786718163,166367.786718163
346557471,TRUE,Landhaus,Sehr gut/gut,80,1.461,3,Zentralheizung,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,154.9,D,UNKNOWN,,€ 284,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,350000,43,"Mitterndorf an der Fischa, Niederösterreich, Österreich",2441,Mitterndorf an der Fischa,Baden,Niederösterreich,AUT,UNKNOWN,UNKNOWN,UNKNOWN,16.47128|47.99754,21910.1246994339,18834.5139244232,515124.13409557,165124.13409557
